Trait	Marker	Chr	Pos	df	F	p	add_effect	add_F	add_p	dom_effect	dom_F	dom_p	errordf	MarkerR2	Genetic Var	Residual Var	-2LnLikelihood
sim	179	2	15548593	2	0.29054	0.74852	-7.571E-1	0.302	0.58392	-8.1857E-1	0.26537	0.60765	100	0.00595	35.77882	31.18595	676.41697
sim	180	2	15639269	2	0.81498	0.44572	2.5493	0.39611	0.53062	4.66322	1.19137	0.27781	100	0.01669	35.77882	31.18595	676.41697
sim	181	2	15729944	2	0.66818	0.51503	1.41628	0.65758	0.41944	2.25794	1.29385	0.2582	100	0.01369	35.77882	31.18595	676.41697
sim	182	2	15832862	2	0.36219	0.69711	-1.0014E0	0.5863	0.44575	0.22239	0.01806	0.89339	100	0.00742	35.77882	31.18595	676.41697
sim	183	2	15948021	2	0.58713	0.55792	-2.7706E0	0.47053	0.49441	4.33612	1.01549	0.31615	100	0.01203	35.77882	31.18595	676.41697
sim	184	2	16063180	2	0.34647	0.70807	2.99726	0.54566	0.46192	3.53318	0.69252	0.40739	100	0.0071	35.77882	31.18595	676.41697
sim	185	2	16178339	2	0.8111	0.44742	-1.1939E0	0.79268	0.37554	1.51028	0.87797	0.35114	100	0.01662	35.77882	31.18595	676.41697
sim	186	2	16293498	2	0.07873	0.92435	-5.4735E-1	0.05033	0.82298	1.13912	0.15561	0.69412	100	0.00161	35.77882	31.18595	676.41697
sim	187	2	16408657	2	0.71418	0.4922	-4.8491E-1	0.04012	0.84167	1.57837	0.36571	0.54679	100	0.01463	35.77882	31.18595	676.41697
sim	188	2	16523816	2	0.55039	0.57855	-1.3313E0	1.10077	0.29676	0.16106	0.01114	0.91615	100	0.01127	35.77882	31.18595	676.41697
sim	189	2	16716338	2	1.47193	0.23467	-1.878E0	0.62234	0.43214	1.07074	0.16929	0.68167	100	0.03015	35.77882	31.18595	676.41697
sim	190	2	16986221	1	0.4622	0.49823	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00473	35.77882	31.18595	676.41697
sim	191	2	17256105	2	0.88465	0.41623	-8.7872E-1	0.17761	0.67439	1.43627	0.37141	0.54369	100	0.01812	35.77882	31.18595	676.41697
sim	192	2	17525988	2	0.34132	0.7117	3.32683	0.67189	0.41445	2.79125	0.42005	0.51848	100	0.00699	35.77882	31.18595	676.41697
sim	193	2	17686844	2	0.18473	0.83162	0.36412	0.06023	0.80667	-7.6356E-1	0.17766	0.67435	100	0.00378	35.77882	31.18595	676.41697
sim	194	2	17726537	2	2.91977	0.0588	-1.6114E-1	0.00675	0.9347	3.84614	3.13832	0.07968	100	0.05981	35.77882	31.18595	676.41697
sim	195	2	17852723	2	0.32146	0.72587	3.09711	0.58741	0.44532	3.38143	0.60931	0.43699	100	0.00659	35.77882	31.18595	676.41697
sim	196	2	18065404	2	0.01067	0.98939	0.43215	0.01203	0.91289	0.60776	0.02086	0.88547	100	2.1856E-4	35.77882	31.18595	676.41697
sim	197	2	18278085	2	0.77985	0.46139	-2.1501E0	1.3512	0.24798	-6.6236E-1	0.09488	0.75874	100	0.01598	35.77882	31.18595	676.41697
sim	198	2	18490765	2	0.21255	0.8089	-9.8613E-1	0.36666	0.54628	0.25153	0.01883	0.89116	100	0.00435	35.77882	31.18595	676.41697
sim	199	2	18703446	2	0.95498	0.38848	-1.7729E0	1.06029	0.30576	2.49486	1.68732	0.1971	100	0.01956	35.77882	31.18595	676.41697
sim	200	2	18916127	2	2.90914	0.0594	-9.6081E0	5.79592	0.018	8.97947	4.56649	0.03517	100	0.05959	35.77882	31.18595	676.41697
sim	201	2	19128807	2	0.61682	0.54181	2.73319	0.45727	0.50055	4.41777	1.04947	0.30823	100	0.01264	35.77882	31.18595	676.41697
sim	202	2	19341488	1	0.00635	0.93663	NaN	NaN	NaN	NaN	NaN	NaN	100	6.5089E-5	35.77882	31.18595	676.41697
sim	203	2	19554169	2	5.90155	0.00384	-1.2018E1	9.19392	0.00313	13.75104	11.79902	8.8019E-4	100	0.12089	35.77882	31.18595	676.41697
sim	204	2	19766850	2	0.21811	0.80444	-5.4835E-1	0.14612	0.70313	0.63244	0.14573	0.7035	100	0.00447	35.77882	31.18595	676.41697
sim	205	3	19979530	2	0.4044	0.66852	2.46688	0.71882	0.39866	1.49966	0.22126	0.63916	100	0.00828	35.77882	31.18595	676.41697
sim	206	3	20192211	2	2.39708	0.09647	0.30863	0.06372	0.80125	3.20674	4.59697	0.03458	100	0.0491	35.77882	31.18595	676.41697
sim	207	3	20404892	2	0.57425	0.56507	-6.0455E-1	0.12837	0.72092	-1.373E0	0.50626	0.47851	100	0.01176	35.77882	31.18595	676.41697
sim	208	3	20617572	2	0.81611	0.44522	4.30776	1.20981	0.27415	5.36182	1.63176	0.20457	100	0.01672	35.77882	31.18595	676.41697
sim	209	3	20830253	2	0.14544	0.86483	0.23072	0.02987	0.86316	0.74518	0.20854	0.64896	100	0.00298	35.77882	31.18595	676.41697
sim	210	3	21042934	2	0.09757	0.90713	1.22217	0.17802	0.67403	1.28207	0.1676	0.68318	100	0.002	35.77882	31.18595	676.41697
sim	211	3	21255614	1	1.32208	0.25308	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01354	35.77882	31.18595	676.41697
sim	212	3	21468295	2	1.97112	0.14496	1.64	1.1128	0.29415	-3.1875E0	3.6057	0.06062	100	0.04038	35.77882	31.18595	676.41697
sim	213	3	21580436	2	1.09383	0.33911	-5.0348E-1	0.01605	0.89944	3.79881	0.7779	0.38001	100	0.02241	35.77882	31.18595	676.41697
sim	214	3	21692577	2	1.98155	0.14351	2.13219	0.84196	0.36116	-4.9153E0	3.52768	0.06342	100	0.04059	35.77882	31.18595	676.41697
sim	215	3	21804718	2	0.15198	0.85922	-1.7528E-1	0.01304	0.90933	0.90106	0.29437	0.58871	100	0.00311	35.77882	31.18595	676.41697
sim	216	3	21916860	2	0.48793	0.61542	-1.1332E0	0.81359	0.36934	0.59522	0.14357	0.7056	100	0.01	35.77882	31.18595	676.41697
sim	217	3	22029001	2	0.61528	0.54263	-1.3739E0	0.54832	0.46083	2.5117	1.22822	0.27055	100	0.0126	35.77882	31.18595	676.41697
sim	218	3	22141142	2	0.83815	0.43568	-2.8346E0	1.21642	0.27285	3.45837	1.61921	0.20631	100	0.01717	35.77882	31.18595	676.41697
sim	219	3	22253283	2	1.51981	0.22402	2.41241	1.37286	0.24425	0.67771	0.08705	0.76861	100	0.03113	35.77882	31.18595	676.41697
sim	220	3	22481737	2	1.12883	0.32771	2.00621	1.91607	0.16953	1.78612	1.12774	0.29095	100	0.02312	35.77882	31.18595	676.41697
sim	221	3	22744495	2	0.56377	0.57095	1.63691	0.58828	0.44499	-9.1691E-2	0.00157	0.96851	100	0.01155	35.77882	31.18595	676.41697
sim	222	3	22987440	2	1.50763	0.22668	1.48061	0.23689	0.62758	5.0988	2.19847	0.14146	100	0.03088	35.77882	31.18595	676.41697
sim	223	3	23176587	2	0.34433	0.70958	-9.672E-1	0.51089	0.47651	0.34018	0.04424	0.83385	100	0.00705	35.77882	31.18595	676.41697
sim	224	3	23365734	2	0.99558	0.37333	-8.0762E-2	7.5066E-4	0.9782	2.69781	0.79821	0.37389	100	0.02039	35.77882	31.18595	676.41697
sim	225	3	23554882	2	0.05971	0.94207	-6.4112E-1	0.07132	0.79	-7.2063E-2	6.5847E-4	0.97958	100	0.00122	35.77882	31.18595	676.41697
sim	226	3	23744029	2	1.98364	0.14322	-1.8626E0	0.21469	0.64418	-2.0857E0	0.263	0.60925	100	0.04064	35.77882	31.18595	676.41697
sim	227	3	23933176	2	1.15226	0.3203	0.25019	0.02139	0.88403	-2.8431E0	1.77994	0.18535	100	0.0236	35.77882	31.18595	676.41697
sim	228	3	24122324	1	0.17452	0.67706	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00179	35.77882	31.18595	676.41697
sim	229	3	24311471	1	0.08953	0.76542	NaN	NaN	NaN	NaN	NaN	NaN	100	9.1703E-4	35.77882	31.18595	676.41697
sim	230	3	24500618	2	0.92965	0.39825	-1.7759E0	0.72505	0.39663	3.49606	1.85769	0.17611	100	0.01904	35.77882	31.18595	676.41697
sim	231	3	24689765	2	0.06395	0.93809	0.96223	0.05539	0.81445	1.42207	0.11052	0.74029	100	0.00131	35.77882	31.18595	676.41697
sim	232	3	24878913	2	0.37715	0.68683	-1.5168E0	0.15753	0.69233	-2.9661E-1	0.00566	0.94019	100	0.00773	35.77882	31.18595	676.41697
sim	233	3	25068060	2	0.02907	0.97135	-2.228E-1	0.02715	0.86947	-3.3387E-1	0.04259	0.83693	100	5.9555E-4	35.77882	31.18595	676.41697
sim	234	3	25257207	2	0.203	0.81663	-1.1982E0	0.09606	0.75729	-2.2332E0	0.29153	0.5905	100	0.00416	35.77882	31.18595	676.41697
sim	235	3	25446355	2	1.19352	0.30765	5.11431	1.66577	0.19996	-3.2795E0	0.63595	0.42717	100	0.02445	35.77882	31.18595	676.41697
sim	236	3	25635502	1	0.76107	0.38517	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0078	35.77882	31.18595	676.41697
sim	237	3	25824649	2	0.49638	0.6103	0.76973	0.18028	0.67209	-1.1169E0	0.31534	0.57574	100	0.01017	35.77882	31.18595	676.41697
sim	238	3	26013797	2	0.06133	0.94055	-1.2225E0	0.08959	0.76535	0.77415	0.03234	0.85767	100	0.00126	35.77882	31.18595	676.41697
sim	239	3	26202944	2	1.05671	0.35165	3.1588	1.71604	0.19336	-1.6641E0	0.36311	0.54822	100	0.02165	35.77882	31.18595	676.41697
sim	240	3	26311183	2	0.67213	0.51303	1.98746	0.86171	0.35561	2.56664	1.27966	0.26081	100	0.01377	35.77882	31.18595	676.41697
sim	241	3	26419422	2	6.33082	0.00262	-5.4462E0	12.60944	5.9919E-4	2.64054	2.06417	0.15408	100	0.12969	35.77882	31.18595	676.41697
sim	242	3	26527661	2	7.80223	7.2891E-4	13.88965	12.76608	5.5655E-4	9.54476	5.29351	0.02359	100	0.15983	35.77882	31.18595	676.41697
sim	243	3	26635900	2	0.06275	0.93921	-2.5836E-1	0.01587	0.90003	-7.595E-1	0.11051	0.74029	100	0.00129	35.77882	31.18595	676.41697
sim	244	3	26744138	1	1.22009	0.2721	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0125	35.77882	31.18595	676.41697
sim	245	3	26852377	1	1.94096	0.16678	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01988	35.77882	31.18595	676.41697
sim	246	3	26960616	2	0.22447	0.79936	0.93089	0.39683	0.53024	0.63146	0.15936	0.69065	100	0.0046	35.77882	31.18595	676.41697
sim	247	3	27068855	2	0.27494	0.76022	-1.625E0	0.32572	0.56954	2.27174	0.54987	0.4602	100	0.00563	35.77882	31.18595	676.41697
sim	248	3	27177094	2	0.30691	0.73645	1.4779	0.15104	0.69841	2.7225	0.45908	0.4997	100	0.00629	35.77882	31.18595	676.41697
sim	249	3	27285333	2	0.22633	0.79788	1.89984	0.44682	0.50547	1.72939	0.30931	0.57941	100	0.00464	35.77882	31.18595	676.41697
sim	250	3	27393572	2	2.34355	0.10151	-3.0847E0	3.34127	0.0707	0.07977	0.00186	0.96566	100	0.04801	35.77882	31.18595	676.41697
sim	251	3	27501811	1	0.23474	0.62913	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0024	35.77882	31.18595	676.41697
sim	252	3	27610049	2	0.21948	0.80334	1.15924	0.08603	0.76993	2.4019	0.31934	0.57334	100	0.0045	35.77882	31.18595	676.41697
sim	253	3	27718288	2	0.13904	0.87037	0.99743	0.26811	0.60581	0.5503	0.06416	0.80059	100	0.00285	35.77882	31.18595	676.41697
sim	254	3	27826527	2	3.88913	0.0238	4.73977	2.57259	0.11205	0.11961	0.0014	0.97027	100	0.07967	35.77882	31.18595	676.41697
sim	255	3	27934766	2	0.52648	0.59239	0.26164	0.02057	0.88626	-1.5235E0	0.59456	0.44258	100	0.01078	35.77882	31.18595	676.41697
sim	256	3	28043005	2	1.01532	0.36619	-4.6987E0	1.52129	0.22047	-6.2376E0	2.02734	0.15777	100	0.0208	35.77882	31.18595	676.41697
sim	257	3	28151244	1	1.52699	0.21958	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01564	35.77882	31.18595	676.41697
sim	258	3	28259483	2	0.60195	0.54982	1.74981	0.54727	0.46126	-5.8231E-2	5.2972E-4	0.98169	100	0.01233	35.77882	31.18595	676.41697
sim	259	3	28367722	2	0.7772	0.46259	-2.8664E0	0.53904	0.46464	-6.3768E-1	0.02379	0.87774	100	0.01592	35.77882	31.18595	676.41697
sim	260	3	28516304	1	2.77473	0.09902	NaN	NaN	NaN	NaN	NaN	NaN	100	0.02842	35.77882	31.18595	676.41697
sim	261	3	28705230	2	0.3764	0.68734	1.5268	0.72858	0.39549	0.77061	0.13429	0.71484	100	0.00771	35.77882	31.18595	676.41697
sim	262	3	28894157	2	1.72589	0.18355	-1.4113E-1	0.0024	0.96101	-3.6671E0	1.2883	0.25922	100	0.03536	35.77882	31.18595	676.41697
sim	263	3	29083083	2	1.37246	0.25846	0.81565	0.17058	0.68053	1.96528	0.8001	0.37332	100	0.02811	35.77882	31.18595	676.41697
sim	264	3	29272009	2	1.68437	0.19105	2.29309	1.03005	0.31272	4.24968	3.28519	0.07307	100	0.0345	35.77882	31.18595	676.41697
sim	265	3	29460935	2	0.14474	0.86544	-1.3823E0	0.11413	0.73623	0.38644	0.00797	0.92903	100	0.00297	35.77882	31.18595	676.41697
sim	266	3	29649861	2	1.69614	0.1889	3.98891	3.0972	0.08165	-1.7846E0	0.61863	0.43352	100	0.03475	35.77882	31.18595	676.41697
sim	267	3	29838788	2	0.35665	0.70095	-2.2533E0	0.59697	0.44165	1.27303	0.1456	0.70363	100	0.00731	35.77882	31.18595	676.41697
sim	268	3	30027714	2	0.09536	0.90913	0.19868	0.02682	0.87025	-6.7647E-1	0.17679	0.6751	100	0.00195	35.77882	31.18595	676.41697
sim	269	3	30216640	2	1.91303	0.15328	-1.2556E0	0.348	0.55665	2.0601	0.82696	0.36545	100	0.03919	35.77882	31.18595	676.41697
sim	270	3	30405566	1	2.17335	0.14369	NaN	NaN	NaN	NaN	NaN	NaN	100	0.02226	35.77882	31.18595	676.41697
sim	271	3	30594493	2	0.82387	0.44184	0.72643	0.06464	0.79985	1.85493	0.33455	0.56436	100	0.01688	35.77882	31.18595	676.41697
sim	272	3	30783419	2	0.68222	0.50795	0.15045	0.00139	0.97036	2.50627	0.32562	0.5696	100	0.01398	35.77882	31.18595	676.41697
sim	273	3	30972345	2	1.26497	0.28696	1.66446	0.86321	0.3552	1.42972	0.60228	0.43964	100	0.02591	35.77882	31.18595	676.41697
sim	274	3	31161271	2	0.54262	0.58301	-1.3623E0	1.03654	0.31121	0.43855	0.08316	0.77369	100	0.01112	35.77882	31.18595	676.41697
sim	275	3	31350198	2	0.13779	0.87145	0.73853	0.2114	0.64672	0.86658	0.20166	0.6544	100	0.00282	35.77882	31.18595	676.41697
sim	276	3	31539124	2	0.12612	0.88166	0.18175	0.0138	0.90675	-7.0283E-1	0.14662	0.70265	100	0.00258	35.77882	31.18595	676.41697
sim	277	3	31728050	2	1.40201	0.25115	-2.1715E0	0.78693	0.37727	-1.1986E0	0.16956	0.68143	100	0.02872	35.77882	31.18595	676.41697
sim	278	3	31916976	2	1.39507	0.25285	1.69568	1.0558	0.30678	3.24126	2.66098	0.10615	100	0.02858	35.77882	31.18595	676.41697
sim	279	3	32105902	2	1.41519	0.24795	-2.573E-1	0.00743	0.93151	3.65989	1.27344	0.26196	100	0.02899	35.77882	31.18595	676.41697
sim	280	3	32294829	2	1.80058	0.1708	4.23179	2.93011	0.0902	5.36215	3.10007	0.08151	100	0.03688	35.77882	31.18595	676.41697
sim	281	3	32483755	2	1.48357	0.23203	-2.691E-1	0.00815	0.92825	3.71036	1.3108	0.25513	100	0.03039	35.77882	31.18595	676.41697
sim	282	3	32653841	2	2.14861	0.12228	-3.3804E0	3.44227	0.06665	3.8786	3.5456	0.06276	100	0.04401	35.77882	31.18595	676.41697
sim	283	3	32805087	2	0.99319	0.37421	1.72126	1.64567	0.20267	0.17673	0.00997	0.92066	100	0.02035	35.77882	31.18595	676.41697
sim	284	3	32956333	2	0.0384	0.96234	0.26255	0.04083	0.84031	0.23022	0.02391	0.87744	100	7.8667E-4	35.77882	31.18595	676.41697
sim	285	3	33107580	2	1.17231	0.31409	0.51548	0.13162	0.71756	2.40104	2.33373	0.12992	100	0.02401	35.77882	31.18595	676.41697
sim	286	3	33258826	2	0.14695	0.86354	0.68988	0.08421	0.77231	-3.895E-1	0.02007	0.88765	100	0.00301	35.77882	31.18595	676.41697
sim	287	3	33410072	2	1.01749	0.3654	-1.8435E0	1.37782	0.24341	0.18702	0.00842	0.92709	100	0.02084	35.77882	31.18595	676.41697
sim	288	3	33561318	2	0.18529	0.83116	-6.6173E-1	0.02628	0.87156	-1.3206E0	0.06896	0.79343	100	0.0038	35.77882	31.18595	676.41697
sim	289	3	33712564	1	0.81258	0.36961	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00832	35.77882	31.18595	676.41697
sim	290	3	33863810	2	0.31293	0.73206	0.59507	0.02137	0.88409	-1.0711E0	0.05649	0.81265	100	0.00641	35.77882	31.18595	676.41697
sim	291	3	34015057	2	1.5115	0.22584	-1.793E0	0.53456	0.46649	-1.6299E0	0.2979	0.58648	100	0.03096	35.77882	31.18595	676.41697
sim	292	3	34166303	2	0.6441	0.52741	-2.1215E0	1.14427	0.28746	2.31185	0.85496	0.35749	100	0.01319	35.77882	31.18595	676.41697
sim	293	3	34673143	1	1.28146	0.26045	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01313	35.77882	31.18595	676.41697
sim	294	3	34983260	2	0.66439	0.51696	-8.8051E-1	0.30266	0.58351	2.24961	1.31663	0.25408	100	0.01361	35.77882	31.18595	676.41697
sim	295	3	35293378	2	0.75299	0.47375	-1.741E0	0.84502	0.36029	2.95742	1.44491	0.23233	100	0.01543	35.77882	31.18595	676.41697
sim	296	3	35603495	2	0.49472	0.6113	3.57935	0.8567	0.35701	-2.694E0	0.42327	0.51688	100	0.01013	35.77882	31.18595	676.41697
sim	297	3	35913613	2	1.45988	0.23743	1.07067	0.81082	0.37016	2.50523	2.53599	0.1146	100	0.02991	35.77882	31.18595	676.41697
sim	298	3	36223730	2	0.73742	0.48106	-1.1808E0	0.23095	0.63192	-1.0577E0	0.15149	0.69798	100	0.01511	35.77882	31.18595	676.41697
sim	299	4	36533848	2	1.13394	0.32608	0.09111	0.00437	0.94743	2.32266	1.95362	0.16545	100	0.02323	35.77882	31.18595	676.41697
sim	300	4	36843965	2	2.10758	0.12718	-6.5076E0	2.82681	0.09599	-8.4951E0	4.18249	0.04361	100	0.04317	35.77882	31.18595	676.41697
sim	301	4	37154083	2	2.28856	0.10698	1.16528	0.64574	0.42364	3.10316	3.83853	0.05302	100	0.04688	35.77882	31.18595	676.41697
sim	302	4	37464200	2	1.69192	0.18967	4.35132	3.06082	0.08343	2.35123	0.69194	0.40759	100	0.03466	35.77882	31.18595	676.41697
sim	303	4	37774317	2	2.23993	0.11206	-2.6397E0	3.49138	0.06477	-2.6429E0	2.53109	0.11495	100	0.04589	35.77882	31.18595	676.41697
sim	304	4	38084435	2	0.34966	0.70583	-1.2949E0	0.48743	0.48678	-2.2565E-1	0.01577	0.90032	100	0.00716	35.77882	31.18595	676.41697
sim	305	4	38394552	2	0.57094	0.56692	0.58738	0.13278	0.71638	-1.9122E0	1.11148	0.29443	100	0.0117	35.77882	31.18595	676.41697
sim	306	4	38645297	2	0.84759	0.43166	1.24229	0.1741	0.67743	-3.9293E0	1.35836	0.24674	100	0.01736	35.77882	31.18595	676.41697
sim	307	4	38836669	2	0.29387	0.74605	0.36792	0.05543	0.81437	-1.3719E0	0.57389	0.45059	100	0.00602	35.77882	31.18595	676.41697
sim	308	4	39028040	1	0.27043	0.60424	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00277	35.77882	31.18595	676.41697
sim	309	4	39219412	2	0.41066	0.66438	-1.4001E0	0.52904	0.4688	0.64301	0.15348	0.69611	100	0.00841	35.77882	31.18595	676.41697
sim	310	4	39428843	2	2.57751	0.08127	3.25119	4.60192	0.03449	-2.969E0	2.75218	0.10042	100	0.0528	35.77882	31.18595	676.41697
sim	311	4	39638275	2	0.38946	0.6785	-1.5598E0	0.53543	0.46613	-1.8348E0	0.68336	0.4105	100	0.00798	35.77882	31.18595	676.41697
sim	312	4	39847706	2	0.36656	0.69409	1.2351	0.22762	0.63439	-2.4304E0	0.71707	0.39923	100	0.00751	35.77882	31.18595	676.41697
sim	313	4	40057138	2	0.48943	0.61451	0.879	0.05116	0.82155	-2.882E0	0.4825	0.48899	100	0.01003	35.77882	31.18595	676.41697
sim	314	4	40266569	2	3.21766	0.04445	-7.2205E0	3.23904	0.07508	-2.8316E0	0.52919	0.46874	100	0.06591	35.77882	31.18595	676.41697
sim	315	4	40476001	2	2.19909	0.11652	2.75258	4.27278	0.04145	-1.2033E0	0.63186	0.42866	100	0.04505	35.77882	31.18595	676.41697
sim	316	4	40685432	2	3.4015	0.03743	-3.7128E0	4.84292	0.03018	0.1019	0.00251	0.96014	100	0.06968	35.77882	31.18595	676.41697
sim	317	4	40894864	2	0.42128	0.65742	0.45606	0.1133	0.73716	-1.4015E0	0.7994	0.37353	100	0.00863	35.77882	31.18595	676.41697
sim	318	4	41104296	2	0.50575	0.60467	-1.1672E0	0.89428	0.34672	-5.4278E-1	0.13328	0.71587	100	0.01036	35.77882	31.18595	676.41697
sim	319	4	41674284	2	0.88714	0.41521	2.01781	0.99033	0.32219	-6.7271E-1	0.06559	0.79842	100	0.01817	35.77882	31.18595	676.41697
sim	320	4	42244271	2	0.96141	0.38604	-1.0683E0	0.60061	0.44027	1.79484	1.29092	0.25874	100	0.01969	35.77882	31.18595	676.41697
sim	321	4	42814259	1	1.71351	0.19366	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01755	35.77882	31.18595	676.41697
sim	322	4	43384246	1	0.13476	0.71435	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00138	35.77882	31.18595	676.41697
sim	323	4	43744350	2	0.76192	0.4696	1.99612	0.95595	0.33069	-2.5417E-1	0.01041	0.91893	100	0.01561	35.77882	31.18595	676.41697
sim	324	4	43894571	2	1.16852	0.31525	-5.6762E0	2.00164	0.1604	-3.5982E0	0.83947	0.36187	100	0.02394	35.77882	31.18595	676.41697
sim	325	4	44044791	2	0.676	0.51108	-1.5029E-1	0.00602	0.93834	2.08371	0.89586	0.3463	100	0.01385	35.77882	31.18595	676.41697
sim	326	4	44195012	1	0.69308	0.40718	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0071	35.77882	31.18595	676.41697
sim	327	4	44373656	2	0.06862	0.93373	-1.0518E-1	0.00306	0.95599	0.67865	0.10598	0.74548	100	0.00141	35.77882	31.18595	676.41697
sim	328	4	44658596	2	0.24019	0.78695	-8.0689E-1	0.32689	0.56885	-3.223E-1	0.0379	0.84606	100	0.00492	35.77882	31.18595	676.41697
sim	329	4	44943536	1	1.39616	0.24029	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0143	35.77882	31.18595	676.41697
sim	330	4	45228475	1	1.35543	0.24722	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01388	35.77882	31.18595	676.41697
sim	331	4	45513415	2	2.31339	0.10447	3.22352	1.19623	0.27684	-9.5588E-1	0.09715	0.75597	100	0.04739	35.77882	31.18595	676.41697
sim	332	4	45683866	2	0.51327	0.60019	1.43019	0.99851	0.32021	-8.035E-1	0.23955	0.62566	100	0.01051	35.77882	31.18595	676.41697
sim	333	4	45854317	2	0.24941	0.77977	-1.2991E0	0.42699	0.51505	0.342	0.0261	0.87199	100	0.00511	35.77882	31.18595	676.41697
sim	334	4	46039382	1	0.66105	0.4182	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00677	35.77882	31.18595	676.41697
sim	335	4	46290752	1	1.0198	0.31511	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01045	35.77882	31.18595	676.41697
sim	336	4	46595208	2	1.06371	0.34925	-1.186E0	0.44714	0.50532	2.16021	1.86255	0.17555	100	0.02179	35.77882	31.18595	676.41697
sim	337	4	46899663	1	0.25603	0.61402	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00262	35.77882	31.18595	676.41697
sim	338	4	47204119	2	0.39172	0.67698	3.43928	0.77396	0.38121	-3.4564E0	0.62898	0.42971	100	0.00802	35.77882	31.18595	676.41697
sim	339	4	47508575	1	0.3284	0.56794	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00336	35.77882	31.18595	676.41697
sim	340	4	47813030	2	2.06781	0.13212	-5.091E-1	0.09684	0.75634	3.49477	3.50192	0.06438	100	0.04236	35.77882	31.18595	676.41697
sim	341	4	48117486	1	0.16305	0.68726	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00167	35.77882	31.18595	676.41697
sim	342	4	48421942	2	2.00595	0.14019	5.3679	3.58701	0.06128	-5.5628E0	3.4936	0.06469	100	0.04109	35.77882	31.18595	676.41697
sim	343	4	48726397	2	0.02855	0.97186	-1.5488E-1	0.01598	0.89966	-2.8367E-1	0.03553	0.85089	100	5.8481E-4	35.77882	31.18595	676.41697
sim	344	4	49030853	2	0.12964	0.87857	-7.3267E-1	0.23281	0.63056	-4.6894E-1	0.08483	0.7715	100	0.00266	35.77882	31.18595	676.41697
sim	345	4	49335309	2	0.52704	0.59207	1.34161	0.82199	0.36689	-3.4058E-1	0.03928	0.84332	100	0.0108	35.77882	31.18595	676.41697
sim	346	4	49639764	2	0.39011	0.67806	0.73573	0.21906	0.64083	-1.4842E0	0.72342	0.39716	100	0.00799	35.77882	31.18595	676.41697
sim	347	4	49944220	2	0.10757	0.89812	-1.1259E0	0.18627	0.66702	1.18343	0.17515	0.67652	100	0.0022	35.77882	31.18595	676.41697
sim	348	4	50245860	2	1.79608	0.17154	-7.3357E0	3.08848	0.08207	5.2589	1.49023	0.2252	100	0.03679	35.77882	31.18595	676.41697
sim	349	4	50544684	2	0.11859	0.8883	-1.352E0	0.19859	0.65688	-1.512E0	0.21775	0.64183	100	0.00243	35.77882	31.18595	676.41697
sim	350	4	50843507	2	0.29372	0.74616	-9.9194E-1	0.47513	0.49232	0.14644	0.00775	0.93003	100	0.00602	35.77882	31.18595	676.41697
sim	351	4	51142331	2	0.3052	0.73769	-1.0882E0	0.60418	0.43892	0.25484	0.02193	0.88257	100	0.00625	35.77882	31.18595	676.41697
sim	352	4	51327581	2	0.7106	0.49394	-1.616E0	1.20664	0.27478	-3.3321E-1	0.04146	0.83909	100	0.01456	35.77882	31.18595	676.41697
sim	353	4	51399258	2	1.26017	0.2883	-2.3867E0	2.47298	0.11914	0.64188	0.11426	0.73609	100	0.02581	35.77882	31.18595	676.41697
sim	354	4	51563636	2	0.70781	0.4953	3.27333	0.6807	0.41141	4.83474	1.33615	0.25061	100	0.0145	35.77882	31.18595	676.41697
sim	355	4	51728013	1	0.15347	0.69611	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00157	35.77882	31.18595	676.41697
sim	356	4	51892391	2	0.86596	0.42394	-2.0241E0	1.23866	0.26854	0.36462	0.03033	0.86212	100	0.01774	35.77882	31.18595	676.41697
sim	357	4	52056768	2	0.85391	0.42899	3.63377	0.83336	0.36361	-5.4063E0	1.59159	0.21019	100	0.01749	35.77882	31.18595	676.41697
sim	358	4	52221146	2	0.04958	0.95165	0.40688	0.01019	0.91982	-2.1909E-1	0.00268	0.95879	100	0.00102	35.77882	31.18595	676.41697
sim	359	4	52385524	2	0.64011	0.52949	0.54287	0.03381	0.85451	2.64013	0.7509	0.38837	100	0.01311	35.77882	31.18595	676.41697
